id,cat0,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cont0,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,target
0,C,I,A,B,B,BI,A,S,Q,A,LO,A,A,A,A,B,D,D,B,0.629858093,0.85534905,0.759438699,0.795549257,0.681917251,0.621671824,0.592184377,0.791920716,0.815253746,0.965006329,0.66591512,0
1,D,I,A,A,E,BI,K,W,AD,F,HJ,A,B,A,B,D,B,D,B,0.370727104,0.328929423,0.38638484,0.541366231,0.388982453,0.357778261,0.600043598,0.408701063,0.399352572,0.927405825,0.493729219,0
2,A,K,A,A,E,BI,A,E,BM,L,DJ,A,B,A,A,B,D,D,B,0.502271696,0.322748843,0.34325474,0.616351559,0.793686798,0.552876878,0.352113382,0.388834857,0.412303123,0.292695523,0.549452394,0
3,A,K,A,C,E,BI,A,Y,AD,F,KV,A,A,A,A,B,D,D,B,0.934241963,0.707662905,0.831147404,0.807806937,0.80003244,0.61914719,0.221788924,0.897617072,0.633669267,0.760318193,0.934242273,0
4,A,I,G,B,E,BI,C,G,Q,A,DP,A,A,A,B,B,B,D,B,0.254427386,0.274513718,0.338817929,0.277307664,0.610578155,0.12829102,0.578764269,0.279167128,0.351102655,0.35708358,0.328959832,1
7,A,I,C,A,E,BI,C,AV,Y,C,GE,A,A,A,A,B,D,D,B,0.480455924,0.413037851,0.524759851,0.580084837,0.301498266,0.261054757,0.193987799,0.93568806,0.685868387,0.277693906,0.428115163,0
10,A,A,G,A,H,BI,A,S,AD,E,HQ,A,A,A,B,D,D,D,B,0.799031099,0.707840129,0.678465747,0.7471246,0.678212454,0.553608668,0.28171926,0.768781549,0.688579504,0.320698691,0.642255655,0
12,A,F,A,A,I,BI,C,AF,AG,A,HC,A,A,A,A,D,B,C,C,0.492681453,0.966718986,0.94354519,0.20974414,0.670577473,0.772650088,0.845750796,0.507320496,0.927203944,0.605754675,0.454154885,1
13,B,I,A,A,E,BI,C,AK,AE,E,EK,A,A,A,A,B,D,D,B,0.645518596,0.664718219,0.635194672,0.672264173,0.56112739,0.419872696,0.50855005,0.67326725,0.356102602,0.471518818,0.499554358,0
14,A,L,A,B,E,BI,C,AF,AX,A,DP,B,A,B,B,D,B,D,C,0.450248357,0.302896175,0.397621686,0.506095524,0.200672911,0.734144643,0.521673219,0.365570758,0.416093921,0.584798667,0.447148523,1
18,A,L,O,B,D,AB,C,AH,BM,A,DJ,B,A,A,B,D,B,B,D,0.486558806,0.280240121,0.204244168,0.251249264,0.233221463,0.620329439,0.490942022,0.377365048,0.302102883,0.356571931,0.402422805,1
19,A,I,C,A,F,AB,A,AH,H,A,GS,A,A,A,B,A,D,D,B,0.466777642,0.46802726,0.424603996,0.284703292,0.257797683,0.248651404,0.933630623,0.350169959,0.39243139,0.250145848,0.41605906,0
20,A,I,A,A,E,BI,A,AV,AE,A,DJ,A,A,A,A,B,D,D,B,0.121670185,0.287018855,0.342573057,0.329484624,0.288216167,0.735637423,0.510052918,0.34600801,0.395400057,0.269129374,0.328863156,0
22,A,N,D,C,F,AB,C,AN,BD,I,HG,A,B,A,A,B,D,D,B,0.301291996,0.217216193,0.180573518,0.48967048,0.303320464,0.422224758,0.792411635,0.317935237,0.399228331,0.411455776,0.263335168,0
